from,to,value,captured_at
"2026-09-01T00:00:00Z","2026-09-01T01:00:00Z","37.23867","2026-08-31T12:32:39Z"
"2026-09-01T01:00:00Z","2026-09-01T02:00:00Z","37.34934","2026-08-31T12:32:39Z"
"2026-09-01T02:00:00Z","2026-09-01T03:00:00Z","37.77774","2026-08-31T12:32:39Z"
"2026-09-01T03:00:00Z","2026-09-01T04:00:00Z","39.06056","2026-08-31T12:32:39Z"
"2026-09-01T04:00:00Z","2026-09-01T05:00:00Z","42.84238","2026-08-31T12:32:39Z"
"2026-09-01T05:00:00Z","2026-09-01T06:00:00Z","44.82849","2026-08-31T12:32:39Z"
"2026-09-01T06:00:00Z","2026-09-01T07:00:00Z","43.35289","2026-08-31T12:32:39Z"
"2026-09-01T07:00:00Z","2026-09-01T08:00:00Z","38.20138","2026-08-31T12:32:39Z"
"2026-09-01T08:00:00Z","2026-09-01T09:00:00Z","34.66708","2026-08-31T12:32:39Z"
"2026-09-01T09:00:00Z","2026-09-01T10:00:00Z","31.12564","2026-08-31T12:32:39Z"
"2026-09-01T10:00:00Z","2026-09-01T11:00:00Z","26.47274","2026-08-31T12:32:39Z"
"2026-09-01T11:00:00Z","2026-09-01T12:00:00Z","23.88092","2026-08-31T12:32:39Z"
"2026-09-01T12:00:00Z","2026-09-01T13:00:00Z","24.35454","2026-08-31T12:32:39Z"
"2026-09-01T13:00:00Z","2026-09-01T14:00:00Z","26.50725","2026-08-31T12:32:39Z"
"2026-09-01T14:00:00Z","2026-09-01T15:00:00Z","31.60997","2026-08-31T12:32:39Z"
"2026-09-01T15:00:00Z","2026-09-01T16:00:00Z","37.07683","2026-08-31T12:32:39Z"
"2026-09-01T16:00:00Z","2026-09-01T17:00:00Z","41.50958","2026-08-31T12:32:39Z"
"2026-09-01T17:00:00Z","2026-09-01T18:00:00Z","45.9102","2026-08-31T12:32:39Z"
"2026-09-01T18:00:00Z","2026-09-01T19:00:00Z","47.97604","2026-08-31T12:32:39Z"
"2026-09-01T19:00:00Z","2026-09-01T20:00:00Z","46.34693","2026-08-31T12:32:39Z"
"2026-09-01T20:00:00Z","2026-09-01T21:00:00Z","44.15257","2026-08-31T12:32:39Z"
"2026-09-01T21:00:00Z","2026-09-01T22:00:00Z","41.7571","2026-08-31T12:32:39Z"
"2026-09-01T22:00:00Z","2026-09-01T23:00:00Z","40.73132","2026-09-01T20:27:30Z"
"2026-09-01T23:00:00Z","2026-09-02T00:00:00Z","39.71387","2026-09-01T20:27:30Z"
"2026-09-02T00:00:00Z","2026-09-02T01:00:00Z","38.62621","2026-09-01T20:27:30Z"
"2026-09-02T01:00:00Z","2026-09-02T02:00:00Z","38.10023","2026-09-01T20:27:30Z"
"2026-09-02T02:00:00Z","2026-09-02T03:00:00Z","38.17401","2026-09-01T20:27:30Z"
"2026-09-02T03:00:00Z","2026-09-02T04:00:00Z","40.11847","2026-09-01T20:27:30Z"
"2026-09-02T04:00:00Z","2026-09-02T05:00:00Z","43.55995","2026-09-01T20:27:30Z"
"2026-09-02T05:00:00Z","2026-09-02T06:00:00Z","44.9463","2026-09-01T20:27:30Z"
